Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_36_318.jpg;21.0;0.2;0;-0.0425;106.6473;83.8086;1.8931;105.7201;0.0422
../images_ouput\2022_12_22_16_25_36_330.jpg;21.0;0.2;0;-0.0425;106.6473;83.8086;1.8931;105.7201;0.0422
../images_ouput\2022_12_22_16_25_36_342.jpg;21.0;0.2;0;-0.0425;106.6473;83.8086;1.8931;105.7201;0.0422
../images_ouput\2022_12_22_16_25_36_384.jpg;21.0;0.2;0;0.0582;106.6476;83.8089;1.7702;105.7313;0.1206
../images_ouput\2022_12_22_16_25_36_398.jpg;21.0;0.2;0;0.0582;106.6476;83.8089;1.7702;105.7313;0.1206
../images_ouput\2022_12_22_16_25_36_408.jpg;21.0;0.2;0;0.1074;106.6475;83.8094;1.6542;105.7391;0.1031
../images_ouput\2022_12_22_16_25_36_436.jpg;21.0;0.2;0;0.1107;106.6472;83.8095;1.5391;105.7505;0.1005
../images_ouput\2022_12_22_16_25_36_447.jpg;21.0;0.2;0;0.1396;106.6475;83.8098;1.2357;105.7502;0.0481
../images_ouput\2022_12_22_16_25_36_459.jpg;21.0;0.2;0;0.1396;106.6475;83.8098;1.2357;105.7502;0.0481
../images_ouput\2022_12_22_16_25_36_499.jpg;21.0;0.2;0;0.1163;106.6462;83.8103;0.9967;105.8348;0.05
../images_ouput\2022_12_22_16_25_36_520.jpg;21.0;0.2;0;0.1087;106.6459;83.8105;0.8875;105.8568;0.0491
../images_ouput\2022_12_22_16_25_36_532.jpg;21.0;0.2;0;0.1087;106.6459;83.8105;0.8875;105.8568;0.0491
../images_ouput\2022_12_22_16_25_36_551.jpg;21.0;0.2;0;0.0996;106.6456;83.8107;0.7889;105.8798;0.0503
../images_ouput\2022_12_22_16_25_36_570.jpg;21.0;0.2;0;0.0816;106.6451;83.8112;0.6211;105.9248;0.0578
../images_ouput\2022_12_22_16_25_36_585.jpg;21.0;0.2;0;0.0816;106.6451;83.8112;0.6211;105.9248;0.0578
../images_ouput\2022_12_22_16_25_36_595.jpg;21.0;0.2;0;0.0734;106.6448;83.8114;0.5507;105.9461;0.0637
../images_ouput\2022_12_22_16_25_36_631.jpg;21.0;0.2;0;0.066;106.6448;83.8114;0.4779;106.8467;0.0584
../images_ouput\2022_12_22_16_25_36_651.jpg;21.0;0.2;0;0.0709;106.6446;83.8122;0.3501;106.942;0.0646
../images_ouput\2022_12_22_16_25_36_665.jpg;21.0;0.2;0;0.0709;106.6446;83.8122;0.3501;106.942;0.0646
../images_ouput\2022_12_22_16_25_36_676.jpg;21.0;0.2;0;0.0787;106.6444;83.8127;0.2891;106.9521;0.0672
../images_ouput\2022_12_22_16_25_36_716.jpg;21.0;0.2;0;0.083;106.644;83.8137;0.172;106.8355;0.0758
../images_ouput\2022_12_22_16_25_36_738.jpg;21.0;0.2;0;0.083;106.6436;83.8143;0.1196;106.9286;0.0806
../images_ouput\2022_12_22_16_25_36_748.jpg;21.0;0.2;0;0.083;106.6436;83.8143;0.1196;106.9286;0.0806
../images_ouput\2022_12_22_16_25_36_767.jpg;21.0;0.2;0;0.0905;106.6433;83.8153;0.0744;107.0891;0.0835
../images_ouput\2022_12_22_16_25_36_784.jpg;21.0;0.2;0;0.099;106.6427;83.8165;0.0368;107.1683;0.0894
../images_ouput\2022_12_22_16_25_36_801.jpg;21.0;0.2;0;0.099;106.6427;83.8165;0.0368;107.1683;0.0894
../images_ouput\2022_12_22_16_25_36_811.jpg;21.0;0.2;0;0.0884;106.6424;83.8174;359.9931;107.2619;0.0906
../images_ouput\2022_12_22_16_25_36_832.jpg;21.0;0.2;0;0.0877;106.6421;83.8184;359.9507;107.3929;0.0917
